Team,Power Level,
Air Force Falcons,51.34,
Akron Zips,71.98,
Alabama Crimson Tide,85.09,
Appalachian State Mountaineers,92.32,
Arizona Wildcats,73.17,
Arizona State Sun Devils,17.13,
Arkansas Razorbacks,41.54,
Arkansas State Red Wolves,9.58,
Army Black Knights,10.28,
Auburn Tigers,44.77,
Ball State Cardinals,13.45,
Baylor Bears,71.83,
Boise State Broncos,58.34,
Boston College Eagles,16.01,
Bowling Green Falcons,22.68,
Buffalo Bulls,8.12,
BYU Cougars,2.67,
California Golden Bears,45.25,
Central Michigan Chippewas,75.79,
Charlotte 49ers,61,
Cincinnati Bearcats,64.81,
Clemson Tigers,31.11,
Coastal Carolina Chanticleers,87.83,
Colorado Buffaloes,77.76,
Colorado State Rams,89.89,
Duke Blue Devils,85.04,
East Carolina Pirates,66.42,
Eastern Michigan Eagles,61.57,
FIU Panthers,65.39,
Florida Gators,24.9,
Florida Atlantic Owls,90.68,
Florida State Seminoles,47.46,
Fresno State Bulldogs,60.25,
Georgia Bulldogs,81.94,
Georgia Southern Eagles,67.98,
Georgia State Panthers,36.48,
Georgia Tech Yellow Jackets,48.48,
Hawaii Rainbow Warriors,45.86,
Houston Cougars,64.39,
Illinois Fighting Illini,48.28,
Indiana Hoosiers,92.97,
Iowa Hawkeyes,49.63,
Iowa State Cyclones,62.32,
Kansas Jayhawks,43.05,
Kansas State Wildcats,83.53,
Kent State Golden Flashes,23.96,
Kentucky Wildcats,29.92,
Liberty Flames,84.38,
Louisiana Ragin' Cajuns,23.83,
Louisiana–Monroe Warhawks,43.15,
Louisiana Tech Bulldogs,79.35,
Louisville Cardinals,17.57,
LSU Tigers,84.36,
Marshall Thundering Herd,15.36,
Maryland Terrapins,74.22,
Memphis Tigers,10.34,
Miami (FL) Hurricanes,30.31,
Miami (OH) RedHawks,0.98,
Michigan Wolverines,45.31,
Michigan State Spartans,24.73,
Middle Tennessee Blue Raiders,74.56,
Minnesota Golden Gophers,38.18,
Mississippi State Bulldogs,18.16,
Missouri Tigers,14.92,
Navy Midshipmen,14.52,
NC State Wolfpack,33.65,
Nebraska Cornhuskers,77.19,
Nevada Wolf Pack,3.85,
New Mexico Lobos,71.9,
New Mexico State Aggies,24.33,
North Carolina Tar Heels,24.74,
North Texas Mean Green,20.5,
Northern Illinois Huskies,58.97,
Northwestern Wildcats,11.28,
Notre Dame Fighting Irish,40.04,
Ohio Bobcats,80.64,
Ohio State Buckeyes,9.45,
Oklahoma Sooners,51.61,
Oklahoma State Cowboys,89.66,
Old Dominion Monarchs,10.01,
Ole Miss Rebels,79.74,
Oregon Ducks,56.81,
Oregon State Beavers,58.36,
Penn State Nittany Lions,25.89,
Pittsburgh Panthers,44.73,
Purdue Boilermakers,78.68,
Rice Owls,71.57,
